product_name @ features @ price @ link@ itemcode @ description 
Lenovo Desktop PC IdeaCentre 510-15IKL MT i5-4GB-1TB W10 Pro 3Y@Μοντέλο Επεξεργαστή: i5-7400    -   RAM Memory : 4 GB     -   Τύπος Δίσκου : HDD    -   Χωρητικότητα Δίσκου: 1000 GB    -   Κάρτα Γραφικών: Integrated graphics card@489.00 € από 679.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/182874-lenovo-desktop-pc-ideacentre-510-15ikl-mt-i5/4gb/1tb-w10-pro-3y@182874@Σταθερός υπολογιστής IdeaCentre 510-15IKL της Lenovo με επεξεργαστή Intel Core i5 μνήμη 4GB χωρητικότητα 1000GB και λειτουργικό σύστημα Windows 10 Professional μαζί με 3 έτη εγγύηση On Site.
HP Pavilion 595-p0000nv Desktop PC@Μοντέλο Επεξεργαστή: AMD Ryzen 32200G    -   RAM Memory : 4 GB     -   Τύπος Δίσκου : HDD    -   Χωρητικότητα Δίσκου: 1000 GB    -   Κάρτα Γραφικών: AMD Radeon Vega 8 Graphics@499.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/185732-hp-pavilion-595-p0000nv@185732@Desktop HP Pavilion 595-p0000nv με επεξεργαστή AMD Ryzen 32200G χρονισμένο στα 3.50 GHz μνήμη RAM 4GB σκληρό δίσκο 1TB και λειτουργικό σύστημα Windows 10.
HP Pavilion 595-p0001nv Desktop PC@Μοντέλο Επεξεργαστή: Intel Core i3 8100 (3.6 GHz6 MB cache4 cores)    -   RAM Memory : 4 GB     -   Τύπος Δίσκου : HDD    -   Χωρητικότητα Δίσκου: 1000 GB    -   Κάρτα Γραφικών: AMD Radeon 520 Graphics@549.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/185736-hp-pavilion-595-p0001nv@185736@Desktop HP Pavilion 595-p0001nv με επεξεργαστή Intel Core i3 8ης γενιάς χρονισμένο στα 3.60 GHz μνήμη RAM 4GB σκληρό δίσκο 1TB και λειτουργικό σύστημα Windows 10.
"HP 290 G1 Microtower i3-7100-4GB-500GB-W10PRO & Acer K222HQLBD 21.5"" Monitor"@Μοντέλο Επεξεργαστή: Intel® Core™ i3-7100    -   RAM Memory : 4 GB     -   Τύπος Δίσκου : HDD    -   Χωρητικότητα Δίσκου: 500 GB    -   Κάρτα Γραφικών: Intel HD Graphics 630@549.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/191417-hp-290-g1-microtower-i3-7100/4gb/500gb/w10pro-%26-acer-k222hqlbd-21.5-monitor@191417@Φέρε εις πέρας τις καθημερινές σου εργασίες με το Microtower HP 290 G1 ο οποίος είναι μικρότερος κατά 27% από τους υπολογιστές της προηγούμενης γενιάς διαθέτει κομψή σχεδίαση και προσφέρει ευκολία στην εγκατάσταση και χρήση. Μαζί του απόκτησε και το monitor Acer K222HQLBD 21.5 ιντσών με ανάλυση 1920 x 1080 pixels αντίθεση 1.000:1 και χρόνο απόκρισης 5ms.
Lenovo ThinkCentre M710e SFF i3-4GB-256GB-W10Pro Desktop PC@Μοντέλο Επεξεργαστή: Intel Core i3-7100    -   RAM Memory : 4 GB     -   Τύπος Δίσκου : SSD    -   Χωρητικότητα Δίσκου: 256 GB    -   Κάρτα Γραφικών: HD 630@566.00 € από 629.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/188050-lenovo-thinkcentre-m710e-sff-i3/4gb/256gb/w10pro@188050@Ο ThinkCentre M710 μπορεί να προσαρμοστεί για να καλύψει τις ανάγκες σου σε υπολογιστές σήμερα και στο μέλλον. Με την πιο εξελιγμένη τεχνολογία στην απόδοση και τον αποθηκευτικό χώρο αυτό το pc είναι εξαιρετικά γρήγορο και αποτελεσματικό με ταχεία απόκριση. Εκτός από το ότι είναι σε θέση να ενισχύσει εσένα και την επιχείρησή σου διαθέτει δυνατά χαρακτηριστικά ασφαλείας για την προστασία των κρίσιμων δεδομένων σου και την ενσωματωμένη αξιοπιστία στην οποία μπορεί να βασιστεί η επιχείρησή σου.
Lenovo ThinkCentre M720 Tiny i3-8100T-128GB Desktop PC@Μοντέλο Επεξεργαστή: Intel Core i3-8100T    -   RAM Memory : 4 GB     -   Τύπος Δίσκου : SSD    -   Χωρητικότητα Δίσκου: 128 GB    -   Κάρτα Γραφικών: Intel HD Graphics 630@589.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/193170-lenovo-thinkcentre-m720-tiny-i3-8100t/128gb@193170@Το μικρών διαστάσεων ThinkCentre M720 Tiny desktop διαθέτει τόσο μικρό μέγεθος που μπορεί να χωρέσει σε ένα ράφι πίσω από μια οθόνη ή ακόμα και κάτω από ένα γραφείο. Σχεδιασμένο για να αποδίδει στα πιο απαιτητικά περιβάλλοντα εργασίας το Tiny μπορεί να ανταπεξέλθει στα πάντα: από μικρούς κραδασμούς έως ακραίες θερμοκρασίες και συνθήκες σκόνης. Έτσι μπορείς να εστιάσεις στην ανάπτυξη της επιχείρησής σου και να ολοκληρώσεις την εργασία σου.
Infinity Gear Core 5 Desktop PC@Μοντέλο Επεξεργαστή: AMD Ryzen 3 2200G (3.5GHz)    -   RAM Memory : 8 GB     -   Τύπος Δίσκου : HDD & SSD    -   Χωρητικότητα Δίσκου: 1000 GB & 120 GB    -   Κάρτα Γραφικών: Radeon Vega 8@599.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/184203-infinity%20gear-core-5@184203@Το Core 5 είναι ένα ισορροπημένο σύστημα για καθημερινή χρήση. Βασισμένο στον τετραπύρηνο Ryzen 3 2200G (έως και 3.7GHz) την ενσωματωμένη Radeon Vega 8 μονάδα γραφικών καθώς και τον ταχύτατο SSD το σύστημα της Infinity Gear θα σε αιφνιδιάσει τόσο με την αποκρισιμότητα όσο και με τις αξιόλογες gaming επιδόσεις του.
Infinity Gear Core 4S Desktop PC@Μοντέλο Επεξεργαστή: Intel Core i3 8100 (3.60 GHz)    -   RAM Memory : 8 GB     -   Τύπος Δίσκου : HDD & SSD    -   Χωρητικότητα Δίσκου: 1000 GB & 120 GB    -   Κάρτα Γραφικών: Intel UHD Graphics 630@609.00 € από 639.90 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/186294-infinity%20gear-core-4s@186294@Το Core 4S είναι ένα αποδοτικό σύστημα για οικιακή ή office χρήση. Βασισμένο στον 8ης γενιάς Intel Core i3-8100 με τέσσερις φυσικούς πυρήνες στα 3.6GHz και με ταχύτατο SSD το σύστημα της Infinity Gear ανταπεξέρχεται με άνεση σε μια πληθώρα σεναρίων χρήσης.
Infinity Gear Core 5 Plus Desktop PC@Μοντέλο Επεξεργαστή: AMD Ryzen 5 2400G (3.6 GHz)    -   RAM Memory : 8 GB     -   Τύπος Δίσκου : HDD & SSD    -   Χωρητικότητα Δίσκου: 1000 GB & 120 GB    -   Κάρτα Γραφικών: Radeon Vega 11@639.00 € από 679.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/184204-infinity%20gear-core-5-plus@184204@Το Core 5 Plus είναι ένα σύστημα υψηλών επιδόσεων για καθημερινή χρήση. Με τους οκτώ λογικούς πυρήνες του Ryzen 5 2400G (έως και 3.9GHz) την ενσωματωμένη Radeon Vega 11 μονάδα γραφικών καθώς και τον ταχύτατο SSD το σύστημα της Infinity Gear θα σε αιφνιδιάσει τόσο με την αποκρισιμότητα όσο και με τις αυξημένες gaming επιδόσεις του.
HP Pavilion 595-p0002nv Desktop PC@Μοντέλο Επεξεργαστή: Intel Core i5-8400 (2.8 GHz base frequency up to 4 GHz with Intel Turbo Boost Technology 9 MB cache 6 cores)     -   RAM Memory : 4 GB     -   Τύπος Δίσκου : HDD    -   Χωρητικότητα Δίσκου: 1000 GB    -   Κάρτα Γραφικών: AMD Radeon RX 550 Graphics@649.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/185737-hp-pavilion-595-p0002nv@185737@Desktop HP Pavilion 595-p0002nv με επεξεργαστή Intel Core i5 8ης γενιάς χρονισμένο στα 2.80 GHz μνήμη RAM 4GB σκληρό δίσκο 1TB και λειτουργικό σύστημα Windows 10.
"Acer Aspire XC-330 Desktop PC & Acer K222HQLBD 21.5"" Monitor"@Μοντέλο Επεξεργαστή: AMD A9 A9-9420 FT4 1M Stoney Ridge    -   RAM Memory : 12 GB    -   Τύπος Δίσκου : HDD    -   Χωρητικότητα Δίσκου: 1000 GB    -   Κάρτα Γραφικών: AMD Integrated R5@649.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/190765-acer-aspire-xc-330-desktop-pc-%26-acer-k222hqlbd-21.5-monitor@190765@Desktop PC Acer Aspire XC-330 με επεξεργαστή AMD A9 μνήμη RAM 12GB σκληρό δίσκο 1000GB και ενσωματωμένα γραφικά AMD Integrated R5. Μαζί και το monitor Acer K222HQLBD 21.5 ιντσών με ανάλυση 1920 x 1080 pixels αντίθεση 1.000:1 και χρόνο απόκρισης 5ms.
Lenovo IdeaCentre 510-15IKL i5-1TB-4GB-W10PRO Desktop PC@Μοντέλο Επεξεργαστή: i5-7400    -   RAM Memory : 4 GB     -   Τύπος Δίσκου : HDD    -   Χωρητικότητα Δίσκου: 1000 GB    -   Κάρτα Γραφικών: Integrated graphics card@679.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/182528-lenovo-ideacentre-510-15ikl-i5/1tb/4gb/w10pro@182528@Το IdeaCentre 510 της Lenovo διαθέτει προηγμένo επεξεργαστή βελτιωμένα γραφικά και επιλογές για επαναστατική τεχνολογία αποθήκευσης έχει σχεδιαστεί για να μετατρέπει τις ιδέες σου σε πραγματικότητα απρόσκοπτα.
Lenovo ThinkCentre M710e SFF i5-8GB-256GB-W10Pro Desktop PC@Μοντέλο Επεξεργαστή: Intel Core i5-6400    -   RAM Memory : 8 GB     -   Τύπος Δίσκου : SSD    -   Χωρητικότητα Δίσκου: 256 GB    -   Κάρτα Γραφικών: HD 530@683.00 € από 759.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/188049-lenovo-thinkcentre-m710e-sff-i5/8gb/256gb/w10pro@188049@Ο ThinkCentre M710 μπορεί να προσαρμοστεί για να καλύψει τις ανάγκες σου σε υπολογιστές σήμερα και στο μέλλον. Με την πιο εξελιγμένη τεχνολογία στην απόδοση και τον αποθηκευτικό χώρο αυτό το pc είναι εξαιρετικά γρήγορο και αποτελεσματικό με ταχεία απόκριση. Εκτός από το ότι είναι σε θέση να ενισχύσει εσένα και την επιχείρησή σου διαθέτει δυνατά χαρακτηριστικά ασφαλείας για την προστασία των κρίσιμων δεδομένων σου και την ενσωματωμένη αξιοπιστία στην οποία μπορεί να βασιστεί η επιχείρησή σου.
"Acer Aspire XC-330 Desktop PC & Acer RT240YBMID 23.8"" Monitor"@Μοντέλο Επεξεργαστή: AMD A9 A9-9420 FT4 1M Stoney Ridge    -   RAM Memory : 12 GB    -   Τύπος Δίσκου : HDD    -   Χωρητικότητα Δίσκου: 1000 GB    -   Κάρτα Γραφικών: AMD Integrated R5@689.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/190766-acer-aspire-xc-330-desktop-pc-%26-acer-rt240ybmid-23.8-monitor@190766@Desktop PC Acer Aspire XC-330 με επεξεργαστή AMD A9 μνήμη RAM 12GB σκληρό δίσκο 1000GB και ενσωματωμένα γραφικά AMD Integrated R5. Μαζί και το monitor Acer RT240YBMID 23.8 ιντσών με ανάλυση 1920 x 1080 pixels αντίθεση 1.000:1 και χρόνο απόκρισης 4ms.
HP Pavilion 22-c0018nv All in One PC@Μοντέλο Επεξεργαστή: Intel Core i3-8130U     -   RAM Memory : 4 GB     -   Τύπος Δίσκου : HDD    -   Χωρητικότητα Δίσκου: 1000 GB    -   Κάρτα Γραφικών: NVIDIA GeForce MX110@769.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/190400-hp-pavilion-22-c0018nv@190400@Αυτός ο όμορφος και δυνατός υπολογιστής All-in-One διαθέτει το χώρο αποθήκευσης που απαιτείται για να καλύψει τις ανάγκες της οικογένειάς σου και να σε βοηθάει να ολοκληρώνεις τις εργασίες σου. Είτε πρόκειται για εργασία ή για παιχνίδι βρήκες το συνδυασμό της εξαιρετικά ελκυστικής σχεδίασης με την υψηλή απόδοση.
Infinity Gear Core 4 Plus Desktop PC@Μοντέλο Επεξεργαστή: Intel Core i3 8100 (3.60 GHz)    -   RAM Memory : 8 GB     -   Τύπος Δίσκου : SSD    -   Χωρητικότητα Δίσκου: 240 GB    -   Κάρτα Γραφικών: nVidia GeForce GTX 1050@789.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/186296-infinity%20gear-core-4-plus@186296@Το Core 4 Plus είναι ένα αποδοτικό σύστημα για καθημερινή οικιακή και gaming χρήση. Βασισμένο στην GeForce GTX 1050 και τον 8ης γενιάς Intel Core i3-8100 με τέσσερις φυσικούς πυρήνες στα 3.6GHz καθώς και με ταχύτατο SSD το σύστημα της Infinity Gear ανταπεξέρχεται με άνεση σε μια πληθώρα σεναρίων χρήσης.
Infinity Gear Core 7 Desktop PC@Μοντέλο Επεξεργαστή: Intel Core i7 8700 (3.20 GHz)    -   RAM Memory : 8 GB     -   Τύπος Δίσκου : HDD    -   Χωρητικότητα Δίσκου: 1000 GB    -   Κάρτα Γραφικών: Intel UHD Graphics 630@799.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/186297-infinity%20gear-core-7@186297@Το Core 7 είναι ένα ισχυρότατο σύστημα για απαιτητική οικιακή ή workstation χρήση. Βασισμένο στον κορυφαίο Intel Core i7-8700 με δώδεκα λογικούς πυρήνες και συχνότητα λειτουργίας μέχρι και 4.6GHz το σύστημα της Infinity Gear προσφέρει επεξεργαστική ισχύ δίχως προηγούμενο.
Lenovo ThinkCentre M720 Tiny i5-8400T-256GB Desktop PC@Μοντέλο Επεξεργαστή: Intel Core i5-8400T    -   RAM Memory : 8 GB     -   Τύπος Δίσκου : SSD    -   Χωρητικότητα Δίσκου: 256 GB    -   Κάρτα Γραφικών: Integrated@827.08 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/193172-lenovo-thinkcentre-m720-tiny-i5-8400t/256gb@193172@Το μικρών διαστάσεων ThinkCentre M720 Tiny desktop διαθέτει τόσο μικρό μέγεθος που μπορεί να χωρέσει σε ένα ράφι πίσω από μια οθόνη ή ακόμα και κάτω από ένα γραφείο. Σχεδιασμένο για να αποδίδει στα πιο απαιτητικά περιβάλλοντα εργασίας το Tiny μπορεί να ανταπεξέλθει στα πάντα: από μικρούς κραδασμούς έως ακραίες θερμοκρασίες και συνθήκες σκόνης. Έτσι μπορείς να εστιάσεις στην ανάπτυξη της επιχείρησής σου και να ολοκληρώσεις την εργασία σου.
Infinity Gear Model R2 Desktop PC@Μοντέλο Επεξεργαστή: AMD Ryzen 3 1200    -   RAM Memory : 8 GB     -   Τύπος Δίσκου : HDD & SSD    -   Χωρητικότητα Δίσκου: 1000 GB & 120 GB    -   Κάρτα Γραφικών: nVidia GeForce GTX 1050@849.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/191352-infinity%20gear-model-r2@191352@Το Model R2 είναι η προφανής επιλογή για μια ολοκληρωμένη desktop gaming εμπειρία. Βασισμένο στην GeForce GTX 1050 3GB τον υδρόψυκτο AMD Ryzen 3 1200 (Max Boost Clock 3.4GHz) με τους τέσσερις πυρήνες και με ταχύτατο SSD το Model R2 αποδίδει εντυπωσιακά σε κάθε σενάριο χρήσης.
HP 24-f0008nv All in One PC@Μοντέλο Επεξεργαστή: Intel Core i5-8250U    -   RAM Memory : 4 GB     -   Τύπος Δίσκου : HDD    -   Χωρητικότητα Δίσκου: 1000 GB    -   Κάρτα Γραφικών: NVIDIA GeForce MX110@899.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/190401-hp-24-f0008nv@190401@Αυτός ο όμορφος και δυνατός υπολογιστής All-in-One διαθέτει το χώρο αποθήκευσης που απαιτείται για να καλύψει τις ανάγκες της οικογένειάς σου και να σε βοηθάει να ολοκληρώνεις τις εργασίες σου. Είτε πρόκειται για εργασία ή για παιχνίδι βρήκες το συνδυασμό της εξαιρετικά ελκυστικής σχεδίασης με την υψηλή απόδοση.
Infinity Gear Model R2 S Desktop PC@Μοντέλο Επεξεργαστή: AMD Ryzen 3 1200    -   RAM Memory : 8 GB     -   Τύπος Δίσκου : HDD & SSD    -   Χωρητικότητα Δίσκου: 1000 GB & 120 GB    -   Κάρτα Γραφικών: nVidia GeForce GTX 1050 Ti@899.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/191353-infinity%20gear-model-r2-s@191353@Το Model R2 S είναι η προφανής επιλογή για μια ολοκληρωμένη desktop gaming εμπειρία. Βασισμένο στην GeForce GTX 1050 Ti 4GB τον υδρόψυκτο AMD Ryzen 3 1200 (Max Boost Clock 3.4GHz) με τους τέσσερις πυρήνες και με ταχύτατο SSD το Model R2 S αποδίδει εντυπωσιακά σε κάθε σενάριο χρήσης.
Lenovo ThinkCentre M920z i7-8700-8GB-256GB All in One PC@Μοντέλο Επεξεργαστή: Intel Core i7-8700    -   RAM Memory : 8 GB     -   Τύπος Δίσκου : SSD    -   Χωρητικότητα Δίσκου: 256 GB    -   Κάρτα Γραφικών: Intel UHD Graphics 630@951.08 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/193174-lenovo-thinkcentre-m920z-i7-8700/8gb/256gb@193174@"Με τεχνολογία αστραπιαίας ταχύτητας ο ThinkCentre M920z χειρίζεται εύκολα εικόνες βίντεο και μεγάλα αρχεία. Σχεδιασμένο με γνώμονα τον χρήστη αυτό το All-in-One PC 238"" παρέχει μια εξαιρετική εμπειρία κάθε μέρα. Δες περιεχόμενο με  πεντακάθαρη εικόνα χάρη στην τεχνολογία με αντιθαμβωτική προστασία."
Infinity Gear Model R2 Plus Desktop PC@Μοντέλο Επεξεργαστή: AMD Ryzen 3 1200    -   RAM Memory : 8 GB     -   Τύπος Δίσκου : HDD & SSD    -   Χωρητικότητα Δίσκου: 1000 GB & 240 GB    -   Κάρτα Γραφικών: nVidia GeForce GTX 1060@969.00 € @https://www.kotsovolos.gr/site/computing/desktops-and-upgrade-tools/desktops-mac-all-in-one/191354-infinity%20gear-model-r2-plus@191354@Το Model R2 Plus είναι η προφανής επιλογή για μια ολοκληρωμένη desktop gaming εμπειρία. Βασισμένο στην GeForce GTX 1060 τον υδρόψυκτο AMD Ryzen 3 1200 (Max Boost Clock 3.4GHz) με τους τέσσερις πυρήνες και με ταχύτατο SSD το Model R2 Plus αποδίδει εντυπωσιακά σε κάθε σενάριο χρήσης.
