product_name @ features @ price @ link
Μικρόφωνο Gembird Desktop MIC-205 MαύροGEMBIRD@Εγγύηση:  12 μήνες-Κατασκευαστής: GEMBIRD@4,98@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/mikrofono-gembird-desktop-mic-205-mayro/prod7350407pp/
Ακουστικά κεφαλής Trust Quasar II - ΜαύροTRUST@Εγγύηση:  24 μήνες-Κατασκευαστής: TRUST@13,00@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-trust-quasar-ii-mayro/prod8680511pp/
Μικρόφωνο Trust Starzz all-around - ΜαύροTRUST@Εγγύηση:  24 μήνες-Κατασκευαστής: TRUST@13,00@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/mikrofono-trust-starzz-all-around-mayro/prod8680515pp/
NOD Gaming Headset G-HDS-001 - Ακουστικά κεφαλής με μικρόφωνο - Μ...NOD@Εγγύηση:  24 μήνες-Κατασκευαστής: NOD@14,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/nod-gaming-headset-g-hds-001-akoystika-kefalis-me-mikrofono-mayro/prod8681058pp/
Gaming Headset Alcatroz  Alpha MG-300a - BlueALCATROZ@Εγγύηση:  12 μήνες-Κατασκευαστής: ALCATROZ@14,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/gaming-headset-alcatroz-alpha-mg-300a-blue/prod8800139pp/
Gaming Headset Alcatroz Alpha MG-370a - RedALCATROZ@Εγγύηση:  12 μήνες-Κατασκευαστής: ALCATROZ@14,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/gaming-headset-alcatroz-alpha-mg-370a-red/prod8800140pp/
Μικρόφωνο Trust Evil Vintage - ΑσημίTRUST@Εγγύηση:  24 μήνες-Κατασκευαστής: TRUST@16,00@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/mikrofono-trust-evil-vintage-asimi/prod8680516pp/
Ακουστικά Κεφαλής Logitech H111 Headset ΓκριLOGITECH@Εγγύηση:  24 μήνες-Κατασκευαστής: LOGITECH@16,00@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-logitech-h111-headset-gkri/prod8240076pp/
Aκουστικά κεφαλής Creative HS-390 HeadsetCREATIVE@Εγγύηση:  24 μήνες-Κατασκευαστής: CREATIVE@16,00@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-creative-hs-390-headset/prod314548/
SBS Stereo Headphones for Gaming - Gaming Headset ΜαύροSBS@Εγγύηση:  12 μήνες-Κατασκευαστής: SBS-Σύνδεση: Ενσύρματη-Μικρόφωνο: Ναι-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: PC, smartphones, mobile gaming@19,99@https://www.public.gr/product/gaming/pc-controllers/audio/sbs-stereo-headphones-for-gaming-gaming-headset-mayro/prod8274757pp/
Ακουστικά Κεφαλής Buddy Phone Jack - ΡοζBUDDYPHONE@Εγγύηση:  24 μήνες-Κατασκευαστής: BUDDYPHONES@19,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-buddy-phone-jack-roz/prod8940232pp/
NOD Gaming Headset G-HDS-002 - Ακουστικά κεφαλής με μικρόφωνο - Μ...NOD@Εγγύηση:  24 μήνες-Κατασκευαστής: NOD@19,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/nod-gaming-headset-g-hds-002-akoystika-kefalis-me-mikrofono-mayro/prod8681057pp/
Ακουστικά Κεφαλής Buddy Phone Jack - ΚίτρινοBUDDYPHONE@Εγγύηση:  24 μήνες-Κατασκευαστής: BUDDYPHONES@19,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-buddy-phone-jack-kitrino/prod8940231pp/
Μικρόφωνο Trust GXT 210 - ΜαύροTRUST@Εγγύηση:  12 μήνες-Κατασκευαστής: TRUST-Σύνδεση: USB-Μικρόφωνο: Ναι-Συμβατότητα: Ψυχαγωγία@21,99@https://www.public.gr/product/gaming/pc-controllers/audio/mikrofono-trust-gxt-210-mayro/prod8500264pp/
Ακουστικά κεφαλής Gembird MHS-U-001 USB Headset ΜαύροGEMBIRD@Εγγύηση:  12 μήνες-Κατασκευαστής: GEMBIRD@24,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-gembird-mhs-u-001-usb-headset-mayro/prod6870990pp/
NOD Gaming Headset G-HDS-003 - Ακουστικά κεφαλής με μικρόφωνο - Μ...NOD@Εγγύηση:  24 μήνες-Κατασκευαστής: NOD@24,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/nod-gaming-headset-g-hds-003-akoystika-kefalis-me-mikrofono-mayro/prod8681056pp/
Aκουστικά κεφαλής Creative HS-620 Headset@Εγγύηση:  24 μήνες-Κατασκευαστής: CREATIVE@24,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-creative-hs-620-headset/prod3311265pp/
Ακουστικά Κεφαλής Buddy Phone Jack Travel - ΡοζBUDDYPHONE@Εγγύηση:  24 μήνες-Κατασκευαστής: BUDDYPHONES@24,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-buddy-phone-jack-travel-roz/prod8940233pp/
Ακουστικά Κεφαλής Buddy Phone Jack Travel - ΜπλεBUDDYPHONE@Εγγύηση:  24 μήνες-Κατασκευαστής: BUDDYPHONES@24,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-buddy-phone-jack-travel-mple/prod8940236pp/
Ακουστικά Κεφαλής Buddy Phone Jack Travel - ΠράσινοBUDDYPHONE@Εγγύηση:  24 μήνες-Κατασκευαστής: BUDDYPHONES@24,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-buddy-phone-jack-travel-prasino/prod8940235pp/
Ακουστικά Κεφαλής Buddy Phone Jack Travel - ΠορτοκαλίBUDDYPHONE@Εγγύηση:  24 μήνες-Κατασκευαστής: BUDDYPHONES@24,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-buddy-phone-jack-travel-portokali/prod8940234pp/
Ακουστικά Κεφαλής Logitech H151 Headset ΜαύροLOGITECH@Εγγύηση:  24 μήνες-Κατασκευαστής: LOGITECH@25,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-logitech-h151-headset-mayro/prod8240077pp/
Μικρόφωνο Trust GXT 212 Micro Usb - ΜαύροTRUST@Εγγύηση:  24 μήνες-Κατασκευαστής: TRUST-Σύνδεση: USB-Μικρόφωνο: Ναι-Συμβατότητα: Ψυχαγωγία@29,98@https://www.public.gr/product/gaming/pc-controllers/audio/mikrofono-trust-gxt-212-micro-usb-mayro/prod8960498pp/
Trust GXT 310 Radius - Gaming Headset ΜαύροTRUST@Εγγύηση:  24 μήνες-Κατασκευαστής: TRUST-Σύνδεση: Ενσύρματη-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: PS4, Xbox One, PC, Laptop@29,98@https://www.public.gr/product/gaming/pc-controllers/audio/trust-gxt-310-radius-gaming-headset-mayro/prod8860448pp/
Ακουστικά Headset SonicGear X-Craft HP-7000@Εγγύηση:  12 μήνες-Κατασκευαστής: SONICGEAR@30,00@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-headset-sonicgear-x-craft-hp-7000/prod8240473pp/
Ακουστικά Κεφαλής Alcatroz Armaggeddon Pulse 6 Gaming Headset - Μ...ALCATROZ@Εγγύηση:  12 μήνες-Κατασκευαστής: ALCATROZ@30,00@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-alcatroz-armaggeddon-pulse-6-gaming-headset-mayrokokkino/prod8740097pp/
Ακουστικά Κεφαλής Alcatroz Armaggeddon Pulse 6 Gaming Headset - Μ...ALCATROZ@Εγγύηση:  12 μήνες-Κατασκευαστής: ALCATROZ@30,00@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-alcatroz-armaggeddon-pulse-6-gaming-headset-mayromple/prod8740095pp/
Ακουστικά Κεφαλής Alcatroz Armaggeddon Pulse 6 Gaming Headset - Μ...ALCATROZ@Εγγύηση:  12 μήνες-Κατασκευαστής: ALCATROZ@30,00@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-alcatroz-armaggeddon-pulse-6-gaming-headset-mayrokitrino/prod8740096pp/
Creative Flex - Headset ΜαύροCREATIVE@Εγγύηση:  24 μήνες-Κατασκευαστής: CREATIVE@31,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/creative-flex-headset-mayro/prod8240619pp/
Creative SB Blaze - Gaming Headset ΜαύροCREATIVE@Εγγύηση:  24 μήνες-Κατασκευαστής: CREATIVE@32,98@https://www.public.gr/product/aksesoyar/sales-accessories/creative-sb-blaze-gaming-headset-mayro/prod7840549pp/
Ακουστικά κεφαλής - Creative ChatMax HS-720 Headset - ΜαύροCREATIVE@Εγγύηση:  24 μήνες-Κατασκευαστής: CREATIVE@34,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-creative-chatmax-hs-720-headset-mayro/prod8700858pp/
Creative Sound Βlaster Evo - Gaming Headset - ΜαύροCREATIVE@Εγγύηση:  24 μήνες-Κατασκευαστής: CREATIVE-Σύνδεση: Ενσύρματη-Μικρόφωνο: Ναι-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: Gaming@34,99@https://www.public.gr/product/gaming/pc-controllers/audio/creative-sound-blaster-evo-gaming-headset-mayro/prod5120056pp/
Turtle Beach Ear Force Recon 50 - Gaming Headset ΜαύροTURTLE BEACH@Εγγύηση:  12 μήνες-Κατασκευαστής: TURTLE BEACH@35,98@https://www.public.gr/product/gaming/accessories/nintendo-switch/turtle-beach-ear-force-recon-50-gaming-headset-mayro/prod7850662pp/
Creative Sound Blaster Tactic3D Fury - Gaming Headset - ΜαύροCREATIVE@Εγγύηση:  24 μήνες-Κατασκευαστής: CREATIVE-Σύνδεση: Ενσύρματη-Μικρόφωνο: USB-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: Gaming@39,90@https://www.public.gr/product/gaming/pc-controllers/audio/creative-sound-blaster-tactic3d-fury-gaming-headset-mayro/prod5120059pp/
Creative Sound BlasterX P5 - Gaming Headset ΜαύροCREATIVE@Εγγύηση:  24 μήνες-Κατασκευαστής: CREATIVE-Σύνδεση: Ενσύρματη-Μικρόφωνο: Jack 3.5mm-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: PC, Mac, Smartphones, PS4, Xbox One@39,99@https://www.public.gr/product/gaming/pc-controllers/audio/creative-sound-blasterx-p5-gaming-headset-mayro/prod8020693pp/
Trust GXT 322 - Gaming Headset ΜαύροTRUST@Εγγύηση:  12 μήνες-Κατασκευαστής: TRUST-Σύνδεση: Ενσύρματη-Μικρόφωνο: Ναι-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: PC, PS4, Xbox One (με jack 3.5mm)@39,99@https://www.public.gr/product/gaming/pc-controllers/audio/trust-gxt-322-gaming-headset-mayro/prod8020684pp/
Ασύρματα Ακουστικά Κεφαλής Creative Sound Blaster Jam ΜαύραCREATIVE@Εγγύηση:  24 μήνες-Κατασκευαστής: CREATIVE-Εύρος Ζώνης Απόκρισης: 20 - 20000 Hz-Μικρόφωνο: Μικρόφωνο-Σύνδεση: Ασύρματη (Bluetooth & NFC)-Ήχος: Στερεοφωνικός-Μικρόφωνο: Ναι-Σύνδεση: Ασύρματη (Bluetooth & NFC)@39,99@https://www.public.gr/product/ihos/akoustika/akoystika-kefalis/asyrmata-akoystika-kefalis-creative-sound-blaster-jam-mayra/prod7420230pp/
Trust GXT 350 Radius 7.1 Surround - Gaming Headset ΜαύροTRUST@Εγγύηση:  24 μήνες-Κατασκευαστής: TRUST-Σύνδεση: Ενσύρματη-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: PC, Laptop@39,99@https://www.public.gr/product/gaming/pc-controllers/audio/trust-gxt-350-radius-71-surround-gaming-headset-mayro/prod8860446pp/
Trust GXT 340 7.1 - Gaming Headset ΜαύροTRUST@Εγγύηση:  12 μήνες-Κατασκευαστής: TRUST-Σύνδεση: Ενσύρματη-Μικρόφωνο: USB-Έξοδος Ήχου: 7.1 Surround-Συμβατότητα: PC@39,99@https://www.public.gr/product/gaming/pc-controllers/audio/trust-gxt-340-71-gaming-headset-mayro/prod7861429pp/
Ακουστικά Κεφαλής Logitech H390 Headset ΜαύροLOGITECH@Εγγύηση:  24 μήνες-Κατασκευαστής: LOGITECH@39,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-logitech-h390-headset-mayro/prod2251228pp/
Asus ROG Headset Stand - Αξεσουάρ HeadsetASUS GAMING@Εγγύηση:  12 μήνες-Κατασκευαστής: ASUS-Συμβατότητα: ASUS gaming headsets, Headsets@39,99@https://www.public.gr/product/gaming/pc-controllers/audio/asus-rog-headset-stand-aksesoyar-headset/prod8830393pp/
Turtle Beach Ear Force Recon 50P - Gaming Headset ΛευκόTURTLE BEACH@Εγγύηση:  24 μήνες-Κατασκευαστής: TURTLE BEACH-Σύνδεση: Ενσύρματη-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: PS4, Xbox One, PC, Mac, Smartphones / Tablets@44,99@https://www.public.gr/product/gaming/pc-controllers/audio/turtle-beach-ear-force-recon-50p-gaming-headset-leyko/prod8830384pp/
Turtle Beach Elite Pro Tournament Noise Cancelling Microphone - Μ...TURTLE BEACH@Εγγύηση:  24 μήνες-Κατασκευαστής: TURTLE BEACH-Σύνδεση: Jack 3.5mm-Μικρόφωνο: Πολυκατευθυντικό αποσπώμενο-Συμβατότητα: PC, PS4, Xbox One@49,98@https://www.public.gr/product/gaming/pc-controllers/audio/turtle-beach-elite-pro-tournament-noise-cancelling-microphone-mikrofono-mayro/prod8293442pp/
Creative Draco HS880 - Gaming Headset ΜαύροCREATIVE@Εγγύηση:  24 μήνες-Κατασκευαστής: CREATIVE-Σύνδεση: Ενσύρματη-Μικρόφωνο: Jack 3.5mm-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: PC@49,98@https://www.public.gr/product/gaming/pc-controllers/audio/creative-draco-hs880-gaming-headset-mayro/prod8020694pp/
Trust GXT 344 Creon - Gaming Headset ΜαύροTRUST@Εγγύηση:  24 μήνες-Κατασκευαστής: TRUST-Σύνδεση: Ενσύρματη-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: PS4, Xbox One, PC, Laptop@49,98@https://www.public.gr/product/gaming/pc-controllers/audio/trust-gxt-344-creon-gaming-headset-mayro/prod8860447pp/
Creative Sound BlasterX H3 - Gaming Headset ΜαύροCREATIVE@Εγγύηση:  24 μήνες-Κατασκευαστής: CREATIVE@49,98@https://www.public.gr/product/aksesoyar/sales-accessories/creative-sound-blasterx-h3-gaming-headset-mayro/prod7840567pp/
Trust GXT 380 DOXX Illuminated Gaming Headset ΜαύροTRUST@Εγγύηση:  24 μήνες-Κατασκευαστής: TRUST-Σύνδεση: Ενσύρματη-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: PC, Laptop@49,98@https://www.public.gr/product/gaming/pc-controllers/audio/trust-gxt-380-doxx-illuminated-gaming-headset-mayro/prod8960472pp/
Creative Sound Blaster Inferno - Gaming Headset ΛευκόCREATIVE@Εγγύηση:  12 μήνες-Κατασκευαστής: CREATIVE-Σύνδεση: Ενσύρματη-Μικρόφωνο: Jack 3.5mm-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: PS4, Xbox One, PC, Mac, Smartphones, Tablets@54,99@https://www.public.gr/product/gaming/pc-controllers/audio/creative-sound-blaster-inferno-gaming-headset-leyko/prod7840566pp/
Asus Cerberus Arctic - Gaming Headset ΛευκόASUS@Εγγύηση:  12 μήνες-Κατασκευαστής: ASUS-Σύνδεση: Ενσύρματη-Μικρόφωνο: Ναι-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: PC, Mac, PS4, Smartphones, Tablets@59,99@https://www.public.gr/product/gaming/pc-controllers/audio/asus-cerberus-arctic-gaming-headset-leyko/prod8292744pp/
Trust GXT 3-in-1 Gaming Bundle & Far Cry 5 PC Game - Gaming Mouse...TRUST@Εγγύηση:  24 μήνες-Κατασκευαστής: TRUST-Συμβατότητα: Gaming@59,99@https://www.public.gr/product/gaming/pc-controllers/audio/trust-gxt-3-in-1-gaming-bundle-and-far-cry-5-pc-game-gaming-mouse-and-headset-and-mousepad/prod8955958pp/
Creative Sound Βlaster Evo ΖΧ - Gaming Headset Wireless - ΜαύροCREATIVE@Εγγύηση:  24 μήνες-Κατασκευαστής: CREATIVE-Σύνδεση: Ασύρματη - Ενσύρματη-Μικρόφωνο: USB-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: Gaming@59,99@https://www.public.gr/product/gaming/pc-controllers/audio/creative-sound-blaster-evo-zh-gaming-headset-wireless-mayro/prod5120037pp/
Turtle Beach Star Wars X-Wing Pilot - Gaming Headset ΠορτοκαλίTURTLE BEACH@Εγγύηση:  12 μήνες-Κατασκευαστής: TURTLE BEACH-Σύνδεση: Ενσύρματη-Μικρόφωνο: Jack 3.5mm-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: PC, Mac, Xbox One, PS4, Smartphones, Tablets@59,99@https://www.public.gr/product/gaming/pc-controllers/audio/turtle-beach-star-wars-x-wing-pilot-gaming-headset-portokali/prod7850761pp/
Razer Hammerhead v2 - Ακουστικά ΜαύροRAZER@Εγγύηση:  24 μήνες-Κατασκευαστής: RAZER-Σύνδεση: Ενσύρματη-Μικρόφωνο: Jack 3.5mm-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: PC, PS4, Xbox One, Smartphone@59,99@https://www.public.gr/product/gaming/pc-controllers/audio/razer-hammerhead-v2-akoystika-mayro/prod8273837pp/
Asus Cerberus - Gaming Headset ΜαύροASUS@Εγγύηση:  12 μήνες-Κατασκευαστής: ASUS-Σύνδεση: Ενσύρματη-Μικρόφωνο: Jack 3.5mm-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: PC, MAC, PS4, Smartphones, Tablets@59,99@https://www.public.gr/product/gaming/pc-controllers/audio/asus-cerberus-gaming-headset-mayro/prod7820275pp/
Turtle Beach Ear Force Recon Camo - Gaming Headset ΜαύροTURTLE BEACH@Εγγύηση:  24 μήνες-Κατασκευαστής: TURTLE BEACH-Σύνδεση: Ενσύρματη-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: PS4, Xbox One, PC, Mac, Smartphones / Tablets@59,99@https://www.public.gr/product/gaming/pc-controllers/audio/turtle-beach-ear-force-recon-camo-gaming-headset-mayro/prod8830385pp/
Logitech G231 Prodigy - Gaming Headset ΜαύροLOGITECH@Εγγύηση:  24 μήνες-Κατασκευαστής: LOGITECH-Σύνδεση: Ενσύρματη-Μικρόφωνο: Ναι-Έξοδος Ήχου: Stereo-Συμβατότητα: PC@59,99@https://www.public.gr/product/gaming/pc-controllers/audio/logitech-g231-prodigy-gaming-headset-mayro/prod8290163pp/
Plantronics RIG 400 Dolby Atmos - Gaming Headset ΜαύροPLANTRONICS@Εγγύηση:  24 μήνες-Κατασκευαστής: PLANTRONICS@59,99@https://www.public.gr/product/gaming/pc-controllers/audio/plantronics-rig-400-dolby-atmos-gaming-headset-mayro/prod8900408pp/
HyperX Cloud Stinger - Gaming Headset ΜαύροHYPERX@Εγγύηση:  24 μήνες-Κατασκευαστής: HYPERX@59,99@https://www.public.gr/product/gaming/pc-controllers/audio/hyperx-cloud-stinger-gaming-headset-mayro/prod8957621pp/
Ακουστικά Κεφαλής Logitech H540 Headset ΜαύροLOGITECH@-Κατασκευαστής: LOGITECH@61,99@https://www.public.gr/product/perifereiaka/pc-headsetmicrophone/akoystika-kefalis-logitech-h540-headset-mayro/prod4630561pp/
Gaming Headset - Corsair HS50 - CarbonCORSAIR@Εγγύηση:  12 μήνες-Κατασκευαστής: CORSAIR@64,99@https://www.public.gr/product/gaming/pc-controllers/audio/gaming-headset-corsair-hs50-carbon/prod8840107pp/
Gaming Headset - Corsair HS50 - BlueCORSAIR@Εγγύηση:  12 μήνες-Κατασκευαστής: CORSAIR@64,99@https://www.public.gr/product/gaming/pc-controllers/audio/gaming-headset-corsair-hs50-blue/prod8840109pp/
Gaming Headset - Corsair HS50 - GreenCORSAIR@Εγγύηση:  12 μήνες-Κατασκευαστής: CORSAIR@64,99@https://www.public.gr/product/gaming/pc-controllers/audio/gaming-headset-corsair-hs50-green/prod8840108pp/
ASTRO A40TR Mod Kit Blue - Αξεσουάρ HeadsetASTRO@Εγγύηση:  24 μήνες-Κατασκευαστής: ASTRO-Συμβατότητα: Astro A40TR@69,99@https://www.public.gr/product/gaming/pc-controllers/audio/astro-a40tr-mod-kit-blue-aksesoyar-headset/prod8630105pp/
Ακουστικά κεφαλής Trust GXT-363 Bass Vibration 7.1 - ΜαύροTRUST@Εγγύηση:  12 μήνες-Κατασκευαστής: TRUST-Σύνδεση: USB-Μικρόφωνο: Ναι-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: Ψηφιακή συσκευή αναπαραγωγής@69,99@https://www.public.gr/product/gaming/pc-controllers/audio/akoystika-kefalis-trust-gxt-363-bass-vibration-71-mayro/prod8500257pp/
Astro A10 - Gaming Headset Γκρι/ΚόκκινοASTRO@Εγγύηση:  12 μήνες-Κατασκευαστής: ASTRO-Σύνδεση: Ενσύρματη-Έξοδος Ήχου: Stereo-Συμβατότητα: PS4, Xbox One, PC@69,99@https://www.public.gr/product/gaming/pc-controllers/audio/astro-a10-gaming-headset-gkrikokkino/prod8900410pp/
ASTRO A40TR Mod Kit Green - Αξεσουάρ HeadsetASTRO@Εγγύηση:  24 μήνες-Κατασκευαστής: ASTRO-Συμβατότητα: Astro A40TR@69,99@https://www.public.gr/product/gaming/pc-controllers/audio/astro-a40tr-mod-kit-green-aksesoyar-headset/prod8630547pp/
ASTRO A40TR Mod Kit Red - Αξεσουάρ HeadsetASTRO@Εγγύηση:  24 μήνες-Κατασκευαστής: ASTRO-Συμβατότητα: Astro A40TR@69,99@https://www.public.gr/product/gaming/pc-controllers/audio/astro-a40tr-mod-kit-red-aksesoyar-headset/prod8430814pp/
ASTRO A50 Mod Kit Black - Αξεσουάρ HeadsetASTRO@Εγγύηση:  24 μήνες-Κατασκευαστής: ASTRO-Συμβατότητα: Astro A50@69,99@https://www.public.gr/product/gaming/pc-controllers/audio/astro-a50-mod-kit-black-aksesoyar-headset/prod8630106pp/
Creative Sound BlasterX H5 - Gaming Headset ΜαύροCREATIVE@Εγγύηση:  24 μήνες-Κατασκευαστής: CREATIVE-Σύνδεση: Ενσύρματη-Μικρόφωνο: Jack 3.5mm-Έξοδος Ήχου: Στερεοφωνικός-Συμβατότητα: PC@69,99@https://www.public.gr/product/gaming/pc-controllers/audio/creative-sound-blasterx-h5-gaming-headset-mayro/prod7840565pp/
Creative Sound Blaster Tactic3D Rage V2 - Headset Gaming - ΜαύροCREATIVE@-Κατασκευαστής: CREATIVE@74,98@https://www.public.gr/product/aksesoyar/sales-accessories/creative-sound-blaster-tactic3d-rage-v2-headset-gaming-mayro/prod6810069pp/
Gaming Headset Corsair HS60 7.1 Surround CarbonCORSAIR@Εγγύηση:  24 μήνες-Κατασκευαστής: CORSAIR@79,99@https://www.public.gr/product/gaming/pc-controllers/audio/gaming-headset-corsair-hs60-71-surround-carbon/prod9020291pp/
Astro A10 - Gaming Headset - Call of Duty Edition - BlackASTRO@Εγγύηση:  12 μήνες-Κατασκευαστής: ASTRO-Σύνδεση: Ενσύρματη-Έξοδος Ήχου: Stereo-Συμβατότητα: PS4, Xbox One, PC@79,99@https://www.public.gr/product/gaming/pc-controllers/audio/astro-a10-gaming-headset-call-of-duty-edition-black/prod8900411pp/
Plantronics RIG 515 HD Lava 7.1 - Gaming Headset ΜαύροPLANTRONICS@Εγγύηση:  12 μήνες-Κατασκευαστής: PLANTRONICS-Σύνδεση: Ενσύρματη-Μικρόφωνο: Πολυκατευθυντικό αποσπώμενο-Έξοδος Ήχου: 7.1 Surround-Συμβατότητα: PC@79,99@https://www.public.gr/product/gaming/pc-controllers/audio/plantronics-rig-515-hd-lava-71-gaming-headset-mayro/prod8273374pp/
